,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,-1.00,-0.92,-0.84,-0.76,-0.68,-0.60,-0.52,-0.44,-0.36,-0.28,-0.20,-0.12,-0.04,0.04,0.12,0.20,0.28,0.36,0.44,0.52,0.60,0.68,0.76,0.84,0.92
1,1341735,2160436,3615655,6279302,11291078,20994106,40424970,80638767,165871924,346569542,703014869,1227089055,1501755576,1157493930,633516222,293879228,128050427,54206663,22077256,8752916,3535252,1482977,632567,278385,124945
