,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,-1.00,-0.92,-0.84,-0.76,-0.68,-0.60,-0.52,-0.44,-0.36,-0.28,-0.20,-0.12,-0.04,0.04,0.12,0.20,0.28,0.36,0.44,0.52,0.60,0.68,0.76,0.84,0.92
1,1666779,2175857,3603548,6181856,10967403,20078692,40659050,77049802,178319347,331573840,708706968,1236666017,1485702582,1166691913,638434533,281271930,137710239,51521424,22053405,8290255,3424030,1465802,637294,285412,153538
