,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,-1.00,-0.92,-0.84,-0.76,-0.68,-0.60,-0.52,-0.44,-0.36,-0.28,-0.20,-0.12,-0.04,0.04,0.12,0.20,0.28,0.36,0.44,0.52,0.60,0.68,0.76,0.84,0.92
1,1341798,2160373,3615551,6279137,11291885,20993568,40423625,80635856,165885042,346566650,702985635,1227059235,1501862040,1157461334,633489889,293877654,128060530,54204502,22076437,8752700,3535548,1482917,632547,278380,124950
