processes,c5.9xlarge,c5n.9xlarge
1,159034178.6762204,162806243.06237462
2,349883017.2777368,345773272.1919105
4,660162128.7063576,658935877.1498762
8,1009482516.8651081,1062419542.6581839
16,1253811253.6680968,1972057722.720383
32,1280697494.0263987,2541461712.2839894
64,1274494689.4129221,2523501053.909922
