processes,time_decompress,throughput_decompress,time_afdist,throughput_afdist
1,3.2500092888670764,1096.8769239291128,1.7411901761399435,587.6510356208044
2,6.496871248271532,2390.5792626384405,3.1472919119095812,1158.0729385829256
4,11.396008862022875,4535.491714701287,5.7551359743963895,2290.4836109631437
8,21.571498513704043,9067.681955265025,10.717035922446266,4504.957000838719
16,46.29645274307359,18165.872948025313,22.71597629879068,8913.329529246128
32,87.7456595992358,34954.79083024112,43.421585505401204,17297.635527398186
64,127.71772646733015,50878.25921384215,61.90686976733035,24661.52392671576
128,121.38248352420602,48354.520798208956,68.80708211692578,27410.326322936573
